s,o,deathDate
http://www.wikidata.org/entity/Q15876182,http://hdl.handle.net/1887.1/item:1619769,2012-11-20T00:00Z
http://www.wikidata.org/entity/Q29422099,http://hdl.handle.net/1887.1/item:1620277,2015-08-12T00:00Z
http://www.wikidata.org/entity/Q52156696,http://hdl.handle.net/1887.1/item:1619586,1977-06-09T00:00Z
http://www.wikidata.org/entity/Q4040804,http://hdl.handle.net/1887.1/item:2012872,1988-02-03T00:00Z
http://www.wikidata.org/entity/Q884048,http://hdl.handle.net/1887.1/item:1621484,2012-03-19T00:00Z
http://www.wikidata.org/entity/Q2100921,http://hdl.handle.net/1887.1/item:1622759,2006-11-12T00:00Z
http://www.wikidata.org/entity/Q29559857,http://hdl.handle.net/1887.1/item:1622766,2012-11-24T00:00Z
http://www.wikidata.org/entity/Q1846544,http://hdl.handle.net/1887.1/item:1630792,2012-02-27T00:00Z
http://www.wikidata.org/entity/Q321394,http://hdl.handle.net/1887.1/item:1620437,2015-12-24T00:00Z
http://www.wikidata.org/entity/Q23071174,http://hdl.handle.net/1887.1/item:1620353,2015-07-19T00:00Z
http://www.wikidata.org/entity/Q2606375,http://hdl.handle.net/1887.1/item:1624036,2018-09-10T00:00Z
http://www.wikidata.org/entity/Q1890202,http://hdl.handle.net/1887.1/item:1630877,1975-04-07T00:00Z
